priority_rank,priority_group,priority_label,doc_id,name,org_name,category_general,category_detail,papers_count,doi_1,title_1,year_1,abstract_1,doi_2,title_2,year_2,abstract_2,doi_3,title_3,year_3,abstract_3
1,99,その他,eqnet-2203,"イオンスパッター(日立製作所 E-102, E-201)",岐阜大学 科学研究基盤センター 機器分析分野,成膜・蒸着・膜厚測定,真空蒸着・スパッタ(vac. coater・Sputter),3,10.1080/19490976.2025.2609461,O‑Island 28 encodes a type I secretion and RTX adhesion system regulated by RstA and required for early EHEC O157:H7 adherence,2026,"Enterohemorrhagic Escherichia coli (EHEC) is a leading foodborne pathogen worldwide that causes severe diarrheal disease, hemorrhagic colitis, and hemolytic uremic syndrome, representing a significant threat to public health. O-islands are discrete genomic regions absent from nonpathogenic E. coli K-12 but present in EHEC O157:H7, many of which correspond to or overlap with pathogenicity islands (PAIs) that contribute to virulence. Among these O-islands, O‑Island 28 (OI‑28) in EHEC O157:H7 is a…",10.12957/redp.2026.95756,"E-JUSTICE TO ALL? E-EVIDENCE, EFFICIENCY AND VULNERABILITY",2026,"要旨未取得のため、論文題名「E-JUSTICE TO ALL? E-EVIDENCE, EFFICIENCY AND VULNERABILITY」を基にした暫定要約です。 掲載誌: Revista Eletronica De Direito Processual 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。",10.12957/redp.2026.91713,A decade of the civil procedure code: Progress and/or regress in the formation of judicial precedents,2026,要旨未取得のため、論文題名「A decade of the civil procedure code: Progress and/or regress in the formation of judicial precedents」を基にした暫定要約です。 掲載誌: Revista Eletronica De Direito Processual 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。
2,99,その他,eqnet-2972,イメージアナライザー(フジフィルム・FLA-9000/LAS-4000mini),横浜国立大学 研究推進機構 機器分析評価センター,画像撮影/解析,化学発光・蛍光撮影装置(スキャナタイプ),3,10.1038/s41598-025-31671-1,Evaluating triple inactivated vaccine-induced immunity from a large-scale study in feline population,2026,"Feline panleukopenia virus (FPV), feline calicivirus (FCV), and feline herpesvirus-1 (FHV-1) substantially impact feline health. Field evidence on vaccine-induced population immunity remains limited. We evaluated humoral responses in 4,736 vaccinated domestic cats across 24 provinces in China (July 2024-June 2025), quantifying neutralizing antibody titers to FPV, FCV, and FHV-1 after a trivalent inactivated vaccine (Meowonder™). For cats aged 3 months or older, two primary doses achieved high a…",10.1186/s12870-025-08014-3,Genetic basis of flag leaf thickness and its contribution to yield in wheat (Triticum aestivum L.),2026,要旨未取得のため、論文題名「Genetic basis of flag leaf thickness and its contribution to yield in wheat (Triticum aestivum L.)」を基にした暫定要約です。 掲載誌: BMC Plant Biology 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。,10.1038/s41598-025-31915-0,A qualitative study of question-posing anxiety in Chinese postgraduates in UK TESOL programs,2026,要旨未取得のため、論文題名「A qualitative study of question-posing anxiety in Chinese postgraduates in UK TESOL programs」を基にした暫定要約です。 掲載誌: Scientific Reports 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。
3,99,その他,eqnet-1980,イメージアナライザーGE ヘルスケア社 Typhoon FLA9000 BGRシステム,山口大学 総合科学実験センター 遺伝子実験施設,画像撮影/解析,化学発光・蛍光撮影装置(スキャナタイプ),3,10.1038/s41524-025-01922-w,High-efficiency computational methodologies for electronic properties and structural characterization of Ge-Sb-Te based phase-change materials,2026,"Abstract Theoretical simulation of phase change materials such as Ge-Sb-Te has suffered from two methodological issues. On the one hand, there is a lack of efficient band gap correction method for density functional theory that is suitable for these materials in both crystalline and amorphous phases, while maintaining the computational complexity comparable to local density approximation. On the other hand, analysis of the coordination number in amorphous phases relies on an integration involvi…",10.1038/s41467-025-67062-3,Complexity of quantum tomography from genuine non-Gaussian entanglement,2026,"Quantum state tomography typically requires exponentially many copies of a quantum state, due to the complex correlations present in large systems. We show that, for bosonic systems, the scaling is completely determined by the nature of these correlations. Motivated by the Hong-Ou-Mandel effect and boson sampling, we define Gaussian-entanglable (GE) states, produced by generalized interference between separable bosonic modes. GE states greatly extend the Gaussian family, encompassing separable…",10.1186/s44149-025-00211-9,Construction and immunogenicity of a recombinant pseudorabies virus expressing the G protein of Nipah virus in mice,2026,"Abstract Nipah virus disease, caused by Nipah virus (NiV), is a zoonotic infectious disease with an extremely high fatality rate. Owing to the absence of effective countermeasures, Nipah virus disease has caused substantial economic losses in the swine farming industry. Vaccines represent the most cost-effective approach for prevention and control. Herein, we describe the development of a recombinant pseudorabies virus (PRV)-vectored vaccine (designated PRV-HNX-ΔTK/gE-NiV-G), which expresses th…"
4,99,その他,eqnet-2331,イメージングサイトメーター IN Cell Analyzer,岐阜大学 科学研究基盤センター ゲノム研究分野,光学顕微鏡/病理,ライブセルイメージング装置,3,10.25133/jpssv352027.001,Trends in Research on Sustainable Development of Craft Village Tourism: A Bibliometric Analysis Using CiteSpace Software,2027,要旨未取得のため、論文題名「Trends in Research on Sustainable Development of Craft Village Tourism: A Bibliometric Analysis Using CiteSpace Software」を基にした暫定要約です。 掲載誌: Journal of Population and Social Studies 出版年: 2027 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。,10.4185/rlcs-2027-2613,Emotional Design in Fiction Series: Sentiment Analysis of the Script and Audience's Emotional Response,2027,"Introducción: Este artículo aborda la aplicación del análisis de sentimientos a guiones de series de ficción para diseñar contenidos adecuados a la sensibilidad de la audiencia, mejorando así la calidad y la sostenibilidad de la producción. Se parte de la hipótesis de que la gratificación emocional optimiza la fidelización a través de un desarrollo adecuado de tramas y personajes. Metodología: Se realiza un estudio de caso del thriller español Ana Tramel. El juego, triangulando tres análisis: e…",10.31643/2027/6445.05,Effect of multicomponent mineral additives on the microstructure and strength of composite cement,2027,"In the face of growing environmental and energy challenges, the cement industry is shifting towards the use of composite Portland cements containing hybrid mineral additives to reduce clinker consumption and CO₂ emissions. This study investigates the pozzolanic activity and hydration behavior of thermally activated aluminosilicate additives (TAFM), quartz-feldspar sand, apobasalt-orthoshale (APO), and limestone. The chemical composition and calcium oxide binding capacity of each component were…"
5,99,その他,eqnet-1117,イメージングサイトメーター(パーキンエルマー社 Operetta),富山大学 研究推進機構研究推進総合支援センター 自然科学研究支援ユニット 機器分析施設,光学顕微鏡/病理,ライブセルイメージング装置,3,10.1186/s13287-025-04840-2,FFAR4 drives stem cell fate toward lipid- and iron-storing enterocytes protecting human enteroids from ferroptosis,2026,"Altogether, our findings show that chemosensory receptors on stem cells play a more influential role than previously appreciated in modulating gut epithelial composition and function in response to environmental cues.",10.1186/s12885-025-15172-y,Cyclin B2 facilitates glycolysis and tumor progression in pancreatic ductal adenocarcinoma by promoting histone lactylation,2026,要旨未取得のため、論文題名「Cyclin B2 facilitates glycolysis and tumor progression in pancreatic ductal adenocarcinoma by promoting histone lactylation」を基にした暫定要約です。 掲載誌: BMC Cancer 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。,10.1016/j.toxicon.2025.108969,Selectivity screening of cytotoxicity evoked by viper venoms and their toxins after nanofractionation,2026,"Cytotoxicity is a major pathological effect that can occur during snakebite envenoming. To better understand the underlying biochemical and molecular mechanisms behind snake venom-induced cytotoxicity, it is essential to use appropriate in vitro tools for bioassaying cytotoxicity evoked by snake venoms. Identifying the toxins causing cytotoxicity is also important in this regard, particularly in the context of developing more effective snakebite treatments. Cytotoxicity induced by venom toxins…"
6,99,その他,eqnet-1981,イメージングサイトメーターGE ヘルスケア社 IN Cell Analyzer 2000システム,山口大学 総合科学実験センター 遺伝子実験施設,光学顕微鏡/病理,ライブセルイメージング装置,3,10.1038/s41524-025-01922-w,High-efficiency computational methodologies for electronic properties and structural characterization of Ge-Sb-Te based phase-change materials,2026,"Abstract Theoretical simulation of phase change materials such as Ge-Sb-Te has suffered from two methodological issues. On the one hand, there is a lack of efficient band gap correction method for density functional theory that is suitable for these materials in both crystalline and amorphous phases, while maintaining the computational complexity comparable to local density approximation. On the other hand, analysis of the coordination number in amorphous phases relies on an integration involvi…",10.1038/s41467-025-67062-3,Complexity of quantum tomography from genuine non-Gaussian entanglement,2026,"Quantum state tomography typically requires exponentially many copies of a quantum state, due to the complex correlations present in large systems. We show that, for bosonic systems, the scaling is completely determined by the nature of these correlations. Motivated by the Hong-Ou-Mandel effect and boson sampling, we define Gaussian-entanglable (GE) states, produced by generalized interference between separable bosonic modes. GE states greatly extend the Gaussian family, encompassing separable…",10.1186/s44149-025-00211-9,Construction and immunogenicity of a recombinant pseudorabies virus expressing the G protein of Nipah virus in mice,2026,"Abstract Nipah virus disease, caused by Nipah virus (NiV), is a zoonotic infectious disease with an extremely high fatality rate. Owing to the absence of effective countermeasures, Nipah virus disease has caused substantial economic losses in the swine farming industry. Vaccines represent the most cost-effective approach for prevention and control. Herein, we describe the development of a recombinant pseudorabies virus (PRV)-vectored vaccine (designated PRV-HNX-ΔTK/gE-NiV-G), which expresses th…"
7,99,その他,eqnet-5199,インキュベーションモニタリングシステム (エビデント/オリンパス CM20),鹿児島大学 医歯学総合研究科 南九州先端医療開発センター 南九州先端医療開発センター,光学顕微鏡/病理,ライブセルイメージング装置,3,10.12982/vis.2026.048,Study of the effects of new Lactobacillus strains on gut and oral microbiota in healthy dogs,2026,要旨未取得のため、論文題名「Study of the effects of new Lactobacillus strains on gut and oral microbiota in healthy dogs」を基にした暫定要約です。 掲載誌: Veterinary Integrative Sciences 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。,10.1145/3732365.3732371,Privacy Set Intersection Protocol based on Homomorphic Encryption and Optimization Filters,2025,要旨未取得のため、論文題名「Privacy Set Intersection Protocol based on Homomorphic Encryption and Optimization Filters」を基にした暫定要約です。 掲載誌: Proceedings of 2025 5th International Conference on Computer Network Security and Software Engineering Cnsse 2025 出版年: 2025 分野: Conference Paper 具体的な手法・条件は「別タブで開く」から原文をご確認ください。,10.1016/j.triboint.2025.111489,Frictional and wear performances and dynamic behaviors of carbon fiber-reinforced and graphite-modified crown-shaped polyetheretherketone ball-bearing cages,2026,要旨未取得のため、論文題名「Frictional and wear performances and dynamic behaviors of carbon fiber-reinforced and graphite-modified crown-shaped polyetheretherketone ball-bearing cages」を基にした暫定要約です。 掲載誌: Tribology International 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。
8,99,その他,eqnet-5198,インキュベーションモニタリングシステム (ショーシンEM CytoSMART),鹿児島大学 医歯学総合研究科 南九州先端医療開発センター 南九州先端医療開発センター,光学顕微鏡/病理,ライブセルイメージング装置,3,10.69881/fw4nqf65,THE TRIVIALIZATION OF THE PRINCIPLE OF HUMAN DIGNITY IN THE AWARDING OF MORAL DAMAGE FOR TRAFFIC ACCIDENT,2026,要旨未取得のため、論文題名「THE TRIVIALIZATION OF THE PRINCIPLE OF HUMAN DIGNITY IN THE AWARDING OF MORAL DAMAGE FOR TRAFFIC ACCIDENT」を基にした暫定要約です。 掲載誌: Revista do Caap 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。,10.12957/redp.2026.92129,EFFECTS MODULATION IN JUDICIAL PRECEDENTS: A STUDY FROM THE PERSPECTIVE OF LEGAL PRAGMATISM,2026,要旨未取得のため、論文題名「EFFECTS MODULATION IN JUDICIAL PRECEDENTS: A STUDY FROM THE PERSPECTIVE OF LEGAL PRAGMATISM」を基にした暫定要約です。 掲載誌: Revista Eletronica De Direito Processual 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。,10.1590/1809-6891v27e-81424e,"Clinical and bacteriological diagnosis of infectious keratoconjunctivitis in ruminants from herds in the state of Maranhão, Brazil",2026,"要旨未取得のため、論文題名「Clinical and bacteriological diagnosis of infectious keratoconjunctivitis in ruminants from herds in the state of Maranhão, Brazil」を基にした暫定要約です。 掲載誌: Ciencia Animal Brasileira 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。"
9,99,その他,eqnet-4761,インキュベータ TAITEC HB-80 TAITEC(HB-80),東北大学 研究推進・支援機構コアファシリティ統括センター,培養/恒温恒湿度器/滅菌機機,その他,3,10.21769/bioprotoc.5449,Isolation and Co-culture of Paneth Cells and Intestinal Stem Cells,2025,"Crypts at the base of intestinal villi contain intestinal stem cells (ISCs) and Paneth cells, the latter of which work as niche cells for ISCs. When isolated and cultured in the presence of specific growth factors, crypts give rise to self-renewing 3D structures called organoids that are highly similar to the crypt-villus structure of the small intestine. However, the organoid culture from whole crypts does not allow investigators to determine the contribution of their individual components, na…",10.3177/jnsv.70.470,Effects of Japanese Diet on Post-Exercise Glycogen Recovery in Mice Skeletal Muscle and Liver,2024,"The diet consumed by most Japanese people, which contains high amounts of carbohydrate and low levels of fat compared with the Western-style diet (WD), has been considered an effective diet for promoting glycogen recovery after exercise. However, there is no direct evidence to support this general belief, because no studies have examined the effect of whole, actually cooked Japanese-style diet (JD) on post-exercise glycogen replenishment. In this study, we comparatively examined the effects of…",10.1590/s1984-29612021077,"Resistance of bovine gastrointestinal nematodes to four classes of anthelmintics in the semiarid region of Paraíba state, Brazil",2021,"Abstract The effectiveness of four anthelmintic classes on cattle gastrointestinal nematodes in the semi-arid region of Paraiba State, Brazil, was evaluated. Twenty farms were used, testing 40 animals in each one, totaling 800 animals. Cattle were divided into four groups composed with ten animals: I, treated with albendazole sulfoxide 15%; II, treated with ivermectin 1%; III, treated with closantel 25%; IV, treated with levamisole hydrochloride 7.5%. All treatments were administered subcutaneo…"
10,99,その他,eqnet-2261,インキュベーター,岐阜大学 科学研究基盤センター RI実験分野,専用測定装置,放射線・RI(放射性同位体)関連,3,10.1007/s00018-025-05967-4,VAMP4 in hypoxic adipose stem cell exosomes alleviates ischemia-reperfusion injury,2026,"This study demonstrated that hypoxic ADSC-Ex reduced ROS and mitochondrial dysfunction in vascular endothelial cells through VAMP4, thereby attenuating I/RI. This finding might provide a new approach for treating post-transplant I/RI.",10.1186/s12913-025-13957-2,Comparing patient and healthcare professional preferences for patient-centered integrated care in China: a best-worst scaling study,2026,要旨未取得のため、論文題名「Comparing patient and healthcare professional preferences for patient-centered integrated care in China: a best-worst scaling study」を基にした暫定要約です。 掲載誌: BMC Health Services Research 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。,10.1038/s41598-025-31908-z,Metal-free plano-convex lens-based optical probes for high-sensitivity and chemically resistant refractive index sensing,2026,要旨未取得のため、論文題名「Metal-free plano-convex lens-based optical probes for high-sensitivity and chemically resistant refractive index sensing」を基にした暫定要約です。 掲載誌: Scientific Reports 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。
